state,action,reward,next state
"[338.6486511230469, 311.0178527832031, -0.004551639314740896, 31.60723868683717, 1.0]",1,"[0.8, 1.5724588493659502, -3.6413781344890595e-06, 2.372455207987816]","[338.73858642578125, 266.8493957519531, -0.004549083765596151, 31.449176987319, 0.0]"
"[338.73858642578125, 266.8493957519531, -0.004549083765596151, 31.449176987319, 0.0]",0.0,"[0.8, 1.1541671821616741, -6.412994116544724e-06, 1.9541607691675575]","[338.7639465332031, 223.88316345214844, -0.004120044410228729, 23.083343643233484, 0.0]"
"[338.7639465332031, 223.88316345214844, -0.004120044410228729, 23.083343643233484, 0.0]",0.0,"[0.8, 0.0, -0.0, 0.8]","[338.76763916015625, 218.34051513671875, -0.004513874184340239, 0.0, 0.0]"
"[338.76763916015625, 218.34051513671875, -0.004513874184340239, 0.0, 0.0]",3,"[0.8, 0.0, -0.0, 0.8]","[338.76763916015625, 218.34051513671875, -0.004513874184340239, 0.0, 0.0]"
"[338.76763916015625, 218.34051513671875, -0.004513874184340239, 0.0, 0.0]",3,"[0.8, 0.8325656268648252, -1.5387777239084244e-06, 1.6325640880871013]","[338.77001953125, 212.19544982910156, -0.004579181782901287, 16.6513125372965, 0.0]"
"[338.77001953125, 212.19544982910156, -0.004579181782901287, 16.6513125372965, 0.0]",1,"[0.8, 1.51529781416253, -0.0007284164428710938, 2.3145693977196586]","[312.73870849609375, 195.154541015625, -0.004538745619356632, 30.305956283250598, 0.0]"
"[312.73870849609375, 195.154541015625, -0.004538745619356632, 30.305956283250598, 0.0]",2,"[0.8, 1.5165384962467758, -7.2479248046875005e-06, 2.3165312483219713]","[268.50555419921875, 195.15423583984375, -0.004549083765596151, 30.330769924935517, 0.0]"
"[268.50555419921875, 195.15423583984375, -0.004549083765596151, 30.330769924935517, 0.0]",1,"[0.8, 1.5165323172305543, -7.43865966796875e-06, 2.3165248785708865]","[223.8489227294922, 195.15191650390625, -0.004549083765596151, 30.330646344611083, 0.0]"
"[223.8489227294922, 195.15191650390625, -0.004549083765596151, 30.330646344611083, 0.0]",0.0,"[0.8, 1.6049822669167524, -0.0006628036499023438, 2.40431946326685]","[177.8357696533203, 195.1473388671875, -0.0050314138643443584, 32.099645338335044, 0.0]"
"[177.8357696533203, 195.1473388671875, -0.0050314138643443584, 32.099645338335044, 0.0]",2,"[0.8, 1.4611435322214659, -0.0011915206909179688, 2.2599520115305483]","[130.8348846435547, 195.14244079589844, -0.003392620012164116, 29.222870644429317, 0.0]"
